Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
1.10.2.2,Chrome 75.0.3770.100,,2019-06-27 14:51:09,2019-06-27 15:34:19,43m - 9.726s,FAILED
,,,,,,
Test Cases/OCS - DESKTOP/OCS- CRITICAL PATH/Cart flyout- increase qty,Chrome 75.0.3770.100,,2019-06-27 14:51:09,2019-06-27 14:51:53,44.042s,PASSED
"callTestCase(findTestCase(""OCS - DESKTOP/CALL - Navigate to PDP""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-27 14:51:10,2019-06-27 14:51:32,22.469s,PASSED
"scrollToElement(findTestObject(""OCS-DESKTOP/Product page/Product image""), 1)",Chrome 75.0.3770.100,,2019-06-27 14:51:32,2019-06-27 14:51:32,0.002s,NOT_RUN
delay(2),Chrome 75.0.3770.100,,2019-06-27 14:51:32,2019-06-27 14:51:34,2.003s,PASSED
"flag = verifyElementPresent(findTestObject(""OCS-DESKTOP/Product page/Swatch_3.5g""), 0)",Chrome 75.0.3770.100,,2019-06-27 14:51:34,2019-06-27 14:51:34,0.034s,PASSED
"comment("" flag ="" + flag)",Chrome 75.0.3770.100,,2019-06-27 14:51:34,2019-06-27 14:51:34,0.007s,PASSED
if (flag == true),Chrome 75.0.3770.100,,2019-06-27 14:51:34,2019-06-27 14:51:53,18.994s,PASSED
,,,,,,
Test Cases/OCS - DESKTOP/OCS- CRITICAL PATH/Cart flyout- decrease qty,Chrome 75.0.3770.100,,2019-06-27 14:51:53,2019-06-27 14:52:39,46.420s,PASSED
"callTestCase(findTestCase(""OCS - DESKTOP/CALL - Navigate to PDP""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-27 14:51:53,2019-06-27 14:52:15,21.406s,PASSED
"scrollToElement(findTestObject(""OCS-DESKTOP/Product page/Product image""), 1)",Chrome 75.0.3770.100,,2019-06-27 14:52:15,2019-06-27 14:52:15,0.001s,NOT_RUN
delay(2),Chrome 75.0.3770.100,,2019-06-27 14:52:15,2019-06-27 14:52:17,2.002s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 75.0.3770.100,,2019-06-27 14:52:17,2019-06-27 14:52:17,0.007s,PASSED
"flag = verifyElementPresent(findTestObject(""OCS-DESKTOP/Product page/Swatch_1g""), 0)",Chrome 75.0.3770.100,,2019-06-27 14:52:17,2019-06-27 14:52:17,0.032s,PASSED
"click(findTestObject(""OCS-DESKTOP/Product page/Swatch_1g""))",Chrome 75.0.3770.100,,2019-06-27 14:52:17,2019-06-27 14:52:17,0.109s,PASSED
takeScreenshot(),Chrome 75.0.3770.100,,2019-06-27 14:52:17,2019-06-27 14:52:18,0.784s,PASSED
"comment("" flag ="" + flag)",Chrome 75.0.3770.100,,2019-06-27 14:52:18,2019-06-27 14:52:18,0.001s,PASSED
if (flag == true),Chrome 75.0.3770.100,,2019-06-27 14:52:18,2019-06-27 14:52:39,21.828s,PASSED
,,,,,,
Test Cases/OCS - DESKTOP/OCS- CRITICAL PATH/Checkout- Payment,Chrome 75.0.3770.100,,2019-06-27 14:52:39,2019-06-27 14:54:34,1m - 54.422s,PASSED
"callTestCase(findTestCase(""OCS - DESKTOP/CALL- Age gate""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-27 14:52:40,2019-06-27 14:52:54,14.243s,PASSED
"click(findTestObject(""OCS-DESKTOP/Age gate and Mega menu/Header/CANNABIS menu - English""))",Chrome 75.0.3770.100,,2019-06-27 14:52:54,2019-06-27 14:52:57,3.519s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-27 14:52:57,2019-06-27 14:52:59,2.001s,PASSED
"click(findTestObject(""OCS-DESKTOP/Age gate and Mega menu/Indica Dominant_Menu item""))",Chrome 75.0.3770.100,,2019-06-27 14:52:59,2019-06-27 14:53:02,2.606s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 75.0.3770.100,,2019-06-27 14:53:02,2019-06-27 14:53:02,0.007s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-27 14:53:02,2019-06-27 14:53:04,2.002s,PASSED
"click(findTestObject(""OCS-DESKTOP/Collection page/Product image - 1st one""))",Chrome 75.0.3770.100,,2019-06-27 14:53:04,2019-06-27 14:53:08,3.744s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 75.0.3770.100,,2019-06-27 14:53:08,2019-06-27 14:53:08,0.009s,PASSED
delay(1),Chrome 75.0.3770.100,,2019-06-27 14:53:08,2019-06-27 14:53:09,1.003s,PASSED
delay(3),Chrome 75.0.3770.100,,2019-06-27 14:53:09,2019-06-27 14:53:12,3.012s,PASSED
"scrollToElement(findTestObject(""OCS-DESKTOP/Product page/Product image""), 1)",Chrome 75.0.3770.100,,2019-06-27 14:53:12,2019-06-27 14:53:12,0.000s,NOT_RUN
"click(findTestObject(""OCS-DESKTOP/Product page/Swatch_1g""))",Chrome 75.0.3770.100,,2019-06-27 14:53:12,2019-06-27 14:53:12,0.081s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-27 14:53:12,2019-06-27 14:53:14,2.003s,PASSED
"click(findTestObject(""OCS-DESKTOP/Product page/Add to Bag-button""))",Chrome 75.0.3770.100,,2019-06-27 14:53:14,2019-06-27 14:53:14,0.074s,PASSED
delay(1),Chrome 75.0.3770.100,,2019-06-27 14:53:14,2019-06-27 14:53:15,1.006s,PASSED
