Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OCS - 1.10.2.1,Chrome 75.0.3770.100,,2019-06-25 17:46:14,2019-06-25 18:26:22,40m - 8.868s,FAILED
,,,,,,
Test Cases/OCS - DESKTOP/OCS- CRITICAL PATH/Cart flyout- increase qty,Chrome 75.0.3770.100,,2019-06-25 17:46:14,2019-06-25 17:46:57,43.179s,PASSED
"callTestCase(findTestCase(""OCS - DESKTOP/CALL - Navigate to PDP""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-25 17:46:14,2019-06-25 17:46:36,21.828s,PASSED
"scrollToElement(findTestObject(""OCS-DESKTOP/Product page/Product image""), 1)",Chrome 75.0.3770.100,,2019-06-25 17:46:36,2019-06-25 17:46:36,0.002s,NOT_RUN
delay(2),Chrome 75.0.3770.100,,2019-06-25 17:46:36,2019-06-25 17:46:38,2.003s,PASSED
"flag = verifyElementPresent(findTestObject(""OCS-DESKTOP/Product page/Swatch_3.5g""), 0)",Chrome 75.0.3770.100,,2019-06-25 17:46:38,2019-06-25 17:46:38,0.024s,PASSED
"comment("" flag ="" + flag)",Chrome 75.0.3770.100,,2019-06-25 17:46:38,2019-06-25 17:46:38,0.004s,PASSED
if (flag == true),Chrome 75.0.3770.100,,2019-06-25 17:46:38,2019-06-25 17:46:57,18.784s,PASSED
,,,,,,
Test Cases/OCS - DESKTOP/OCS- CRITICAL PATH/Cart flyout- decrease qty,Chrome 75.0.3770.100,,2019-06-25 17:46:57,2019-06-25 17:47:43,45.975s,PASSED
"callTestCase(findTestCase(""OCS - DESKTOP/CALL - Navigate to PDP""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-25 17:46:57,2019-06-25 17:47:18,20.897s,PASSED
"scrollToElement(findTestObject(""OCS-DESKTOP/Product page/Product image""), 1)",Chrome 75.0.3770.100,,2019-06-25 17:47:18,2019-06-25 17:47:18,0.001s,NOT_RUN
delay(2),Chrome 75.0.3770.100,,2019-06-25 17:47:18,2019-06-25 17:47:20,2.002s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 75.0.3770.100,,2019-06-25 17:47:20,2019-06-25 17:47:20,0.006s,PASSED
