Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OCS- 1.9.2.1,Chrome 75.0.3770.80,,2019-06-07 10:58:43,2019-06-07 11:25:46,27m - 3.766s,FAILED
,,,,,,
Test Cases/OCS - DESKTOP/OCS- CRITICAL PATH/Cart,Chrome 75.0.3770.80,,2019-06-07 10:58:43,2019-06-07 10:59:41,58.035s,PASSED
"callTestCase(findTestCase(""OCS - DESKTOP/CALL - Navigate to PDP""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.80,,2019-06-07 10:58:43,2019-06-07 10:59:05,21.202s,PASSED
"scrollToElement(findTestObject(""OCS-DESKTOP/Product page/Product image""), 1)",Chrome 75.0.3770.80,,2019-06-07 10:59:05,2019-06-07 10:59:05,0.001s,NOT_RUN
delay(2),Chrome 75.0.3770.80,,2019-06-07 10:59:05,2019-06-07 10:59:07,2.004s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 75.0.3770.80,,2019-06-07 10:59:07,2019-06-07 10:59:07,0.007s,PASSED
"click(findTestObject(""OCS-DESKTOP/Product page/Swatch_1g""))",Chrome 75.0.3770.80,,2019-06-07 10:59:07,2019-06-07 10:59:07,0.086s,PASSED
"scrollToElement(findTestObject(""OCS-DESKTOP/Product page/Swatch_3.5g""), 1)",Chrome 75.0.3770.80,,2019-06-07 10:59:07,2019-06-07 10:59:07,0.001s,NOT_RUN
delay(2),Chrome 75.0.3770.80,,2019-06-07 10:59:07,2019-06-07 10:59:09,2.006s,PASSED
"click(findTestObject(""OCS-DESKTOP/Product page/Add to Bag-button""))",Chrome 75.0.3770.80,,2019-06-07 10:59:09,2019-06-07 10:59:09,0.096s,PASSED
delay(2),Chrome 75.0.3770.80,,2019-06-07 10:59:09,2019-06-07 10:59:11,2.003s,PASSED
"click(findTestObject(""OCS-DESKTOP/Cart flyout/Back icon""), CONTINUE_ON_FAILURE)",Chrome 75.0.3770.80,,2019-06-07 10:59:11,2019-06-07 10:59:11,0.136s,PASSED
