Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OCS-1.11,Firefox 67.0,,2019-06-21 13:50:32,2019-06-21 14:19:52,29m - 20.078s,FAILED
,,,,,,
Test Cases/OCS - DESKTOP/OCS- HOME PAGE/Toggling language,Firefox 67.0,,2019-06-21 13:50:32,2019-06-21 13:51:19,46.897s,PASSED
"callTestCase(findTestCase(""OCS - DESKTOP/CALL- Age gate""), [:], STOP_ON_FAILURE)",Firefox 67.0,,2019-06-21 13:50:33,2019-06-21 13:50:58,25.330s,PASSED
delay(2),Firefox 67.0,,2019-06-21 13:50:58,2019-06-21 13:51:00,2.004s,PASSED
"click(findTestObject(""OCS-DESKTOP/Cart flyout/English dropdown""))",Firefox 67.0,,2019-06-21 13:51:00,2019-06-21 13:51:00,0.294s,PASSED
delay(2),Firefox 67.0,,2019-06-21 13:51:00,2019-06-21 13:51:02,2.001s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Firefox 67.0,,2019-06-21 13:51:02,2019-06-21 13:51:02,0.009s,PASSED
"click(findTestObject(""OCS-DESKTOP/Cart flyout/Select French""))",Firefox 67.0,,2019-06-21 13:51:02,2019-06-21 13:51:03,0.264s,PASSED
delay(5),Firefox 67.0,,2019-06-21 13:51:03,2019-06-21 13:51:08,5.003s,PASSED
a = getWindowTitle(),Firefox 67.0,,2019-06-21 13:51:08,2019-06-21 13:51:08,0.029s,PASSED
"comment(""a = "" + a)",Firefox 67.0,,2019-06-21 13:51:08,2019-06-21 13:51:08,0.007s,PASSED
"b = ""Magasin de Cannabis de l'Ontario | Ontario Cannabis Store""",Firefox 67.0,,2019-06-21 13:51:08,2019-06-21 13:51:08,0.001s,PASSED
delay(2),Firefox 67.0,,2019-06-21 13:51:08,2019-06-21 13:51:10,2.007s,PASSED
"flag1 = verifyMatch(a, b, false)",Firefox 67.0,,2019-06-21 13:51:10,2019-06-21 13:51:10,0.007s,PASSED
"comment(""flag = "" + flag1)",Firefox 67.0,,2019-06-21 13:51:10,2019-06-21 13:51:10,0.001s,PASSED
if (flag1 == true),Firefox 67.0,,2019-06-21 13:51:10,2019-06-21 13:51:10,0.003s,PASSED
delay(2),Firefox 67.0,,2019-06-21 13:51:10,2019-06-21 13:51:12,2.006s,PASSED
"click(findTestObject(""OCS-DESKTOP/Cart flyout/French dropdown""))",Firefox 67.0,,2019-06-21 13:51:12,2019-06-21 13:51:12,0.289s,PASSED
delay(2),Firefox 67.0,,2019-06-21 13:51:12,2019-06-21 13:51:14,2.003s,PASSED
"click(findTestObject(""OCS-DESKTOP/Cart flyout/Select English""))",Firefox 67.0,,2019-06-21 13:51:14,2019-06-21 13:51:14,0.258s,PASSED
