Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OCsS-1.10.2,Chrome 76.0.3809.25,,2019-06-19 11:34:14,2019-06-19 12:25:37,51m - 22.747s,FAILED
,,,,,,
Test Cases/OCS - DESKTOP/OCS- HOME PAGE/Toggling language,Chrome 76.0.3809.25,,2019-06-19 11:34:14,2019-06-19 11:35:19,1m - 4.135s,PASSED
"callTestCase(findTestCase(""OCS - DESKTOP/CALL- Age gate""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 11:34:15,2019-06-19 11:34:55,40.392s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 11:34:55,2019-06-19 11:34:57,2.001s,PASSED
"click(findTestObject(""OCS-DESKTOP/Cart flyout/English dropdown""))",Chrome 76.0.3809.25,,2019-06-19 11:34:57,2019-06-19 11:34:59,1.826s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 11:34:59,2019-06-19 11:35:01,2.003s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 76.0.3809.25,,2019-06-19 11:35:01,2019-06-19 11:35:01,0.115s,PASSED
"click(findTestObject(""OCS-DESKTOP/Cart flyout/Select French""))",Chrome 76.0.3809.25,,2019-06-19 11:35:01,2019-06-19 11:35:02,0.465s,PASSED
delay(5),Chrome 76.0.3809.25,,2019-06-19 11:35:02,2019-06-19 11:35:07,5.007s,PASSED
a = getWindowTitle(),Chrome 76.0.3809.25,,2019-06-19 11:35:07,2019-06-19 11:35:07,0.119s,PASSED
"comment(""a = "" + a)",Chrome 76.0.3809.25,,2019-06-19 11:35:07,2019-06-19 11:35:07,0.004s,PASSED
"b = ""Magasin de Cannabis de l'Ontario | Ontario Cannabis Store""",Chrome 76.0.3809.25,,2019-06-19 11:35:07,2019-06-19 11:35:07,0.000s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 11:35:07,2019-06-19 11:35:09,2.006s,PASSED
"flag1 = verifyMatch(a, b, false)",Chrome 76.0.3809.25,,2019-06-19 11:35:09,2019-06-19 11:35:09,0.006s,PASSED
"comment(""flag = "" + flag1)",Chrome 76.0.3809.25,,2019-06-19 11:35:09,2019-06-19 11:35:09,0.001s,PASSED
if (flag1 == true),Chrome 76.0.3809.25,,2019-06-19 11:35:09,2019-06-19 11:35:09,0.001s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 11:35:09,2019-06-19 11:35:11,2.005s,PASSED
"click(findTestObject(""OCS-DESKTOP/Cart flyout/French dropdown""))",Chrome 76.0.3809.25,,2019-06-19 11:35:11,2019-06-19 11:35:11,0.400s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 11:35:11,2019-06-19 11:35:13,2.007s,PASSED
"click(findTestObject(""OCS-DESKTOP/Cart flyout/Select English""))",Chrome 76.0.3809.25,,2019-06-19 11:35:13,2019-06-19 11:35:13,0.307s,PASSED
delay(5),Chrome 76.0.3809.25,,2019-06-19 11:35:13,2019-06-19 11:35:18,5.011s,PASSED
c = getWindowTitle(),Chrome 76.0.3809.25,,2019-06-19 11:35:18,2019-06-19 11:35:19,0.135s,PASSED
"comment(""c ="" + c)",Chrome 76.0.3809.25,,2019-06-19 11:35:19,2019-06-19 11:35:19,0.001s,PASSED
"d = ""Ontario Cannabis Store | Ontario Cannabis Store""",Chrome 76.0.3809.25,,2019-06-19 11:35:19,2019-06-19 11:35:19,0.001s,PASSED
"comment(""d ="" + d)",Chrome 76.0.3809.25,,2019-06-19 11:35:19,2019-06-19 11:35:19,0.001s,PASSED
"flag = verifyMatch(c, d, false)",Chrome 76.0.3809.25,,2019-06-19 11:35:19,2019-06-19 11:35:19,0.001s,PASSED
"comment("" flag = "" + flag)",Chrome 76.0.3809.25,,2019-06-19 11:35:19,2019-06-19 11:35:19,0.001s,PASSED
if (flag == true),Chrome 76.0.3809.25,,2019-06-19 11:35:19,2019-06-19 11:35:19,0.001s,PASSED
,,,,,,
Test Cases/OCS - DESKTOP/OCS- HOME PAGE/HP-Burger menu-Accessories,Chrome 76.0.3809.25,,2019-06-19 11:35:19,2019-06-19 11:37:49,2m - 30.124s,FAILED
"callTestCase(findTestCase(""OCS - DESKTOP/CALL- Age gate""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 11:35:19,2019-06-19 11:35:59,40.066s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 11:35:59,2019-06-19 11:36:01,2.004s,PASSED
"click(findTestObject(""OCS-DESKTOP/Age gate and Mega menu/Header/ACCESSORIES menu - En""), CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 11:36:01,2019-06-19 11:36:03,1.809s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 11:36:03,2019-06-19 11:36:05,2.002s,PASSED
"click(findTestObject(""OCS-DESKTOP/Accessories page/All accessories""), STOP_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 11:36:05,2019-06-19 11:36:05,0.002s,NOT_RUN
"delay(1, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 11:36:05,2019-06-19 11:36:06,1.001s,PASSED
"click(findTestObject(""OCS-DESKTOP/Age gate and Mega menu/Header/ACCESSORIES menu - En""), CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 11:36:06,2019-06-19 11:36:06,0.343s,PASSED
"delay(1, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 11:36:06,2019-06-19 11:36:07,1.007s,PASSED
"click(findTestObject(""OCS-DESKTOP/Accessories page/Vaporizers""), CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 11:36:07,2019-06-19 11:36:10,2.818s,PASSED
"delay(1, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 11:36:10,2019-06-19 11:36:11,1.005s,PASSED
a = getWindowTitle(CONTINUE_ON_FAILURE),Chrome 76.0.3809.25,,2019-06-19 11:36:11,2019-06-19 11:36:11,0.107s,PASSED
comment(a),Chrome 76.0.3809.25,,2019-06-19 11:36:11,2019-06-19 11:36:11,0.000s,PASSED
"b = ""Vaporizers | Ontario Cannabis Store""",Chrome 76.0.3809.25,,2019-06-19 11:36:11,2019-06-19 11:36:11,0.001s,PASSED
comment(b),Chrome 76.0.3809.25,,2019-06-19 11:36:11,2019-06-19 11:36:11,0.001s,PASSED
if (a == b),Chrome 76.0.3809.25,,2019-06-19 11:36:11,2019-06-19 11:36:11,0.001s,PASSED
"delay(1, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 11:36:11,2019-06-19 11:36:12,1.005s,PASSED
"click(findTestObject(""OCS-DESKTOP/Age gate and Mega menu/Header/ACCESSORIES menu - En""), CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 11:36:12,2019-06-19 11:36:12,0.285s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 11:36:12,2019-06-19 11:36:14,2.010s,PASSED
"delay(1, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 11:36:14,2019-06-19 11:36:15,1.002s,PASSED
"click(findTestObject(""OCS-DESKTOP/Accessories page/Bongs - water pipes""), CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 11:36:15,2019-06-19 11:36:18,2.665s,PASSED
"delay(1, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 11:36:18,2019-06-19 11:36:19,1.002s,PASSED
a1 = getWindowTitle(CONTINUE_ON_FAILURE),Chrome 76.0.3809.25,,2019-06-19 11:36:19,2019-06-19 11:36:19,0.102s,PASSED
comment(a1),Chrome 76.0.3809.25,,2019-06-19 11:36:19,2019-06-19 11:36:19,0.001s,PASSED
"b1 = ""Bongs & Water Pipes | Ontario Cannabis Store""",Chrome 76.0.3809.25,,2019-06-19 11:36:19,2019-06-19 11:36:19,0.001s,PASSED
