Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
REmaining,Chrome 76.0.3809.25,,2019-06-19 14:53:26,2019-06-19 15:01:50,8m - 23.736s,FAILED
,,,,,,
Test Cases/OCS - DESKTOP/OCS- HOME PAGE/HP- Burger menu- Learn,Chrome 76.0.3809.25,,2019-06-19 14:53:26,2019-06-19 14:58:23,4m - 56.581s,PASSED
"callTestCase(findTestCase(""OCS - DESKTOP/CALL- Age gate""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 14:53:27,2019-06-19 14:54:12,45.359s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 14:54:12,2019-06-19 14:54:14,2.005s,PASSED
"click(findTestObject(""OCS-DESKTOP/Age gate and Mega menu/Header/LEARN menu - En""))",Chrome 76.0.3809.25,,2019-06-19 14:54:14,2019-06-19 14:54:16,1.581s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 14:54:16,2019-06-19 14:54:18,2.007s,PASSED
"click(findTestObject(""OCS-DESKTOP/LEARN page/How cannabis works""))",Chrome 76.0.3809.25,,2019-06-19 14:54:18,2019-06-19 14:54:21,3.013s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 14:54:21,2019-06-19 14:54:23,2.005s,PASSED
"click(findTestObject(""OCS-DESKTOP/Age gate and Mega menu/Header/LEARN menu - En""))",Chrome 76.0.3809.25,,2019-06-19 14:54:23,2019-06-19 14:54:23,0.326s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 14:54:23,2019-06-19 14:54:25,2.005s,PASSED
"click(findTestObject(""OCS-DESKTOP/LEARN page/The Effects of Cannabis""))",Chrome 76.0.3809.25,,2019-06-19 14:54:25,2019-06-19 14:54:28,3.089s,PASSED
"verifyTextPresent(""The Effects of Cannabis"", true)",Chrome 76.0.3809.25,,2019-06-19 14:54:28,2019-06-19 14:54:29,0.451s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 14:54:29,2019-06-19 14:54:31,2.004s,PASSED
"click(findTestObject(""OCS-DESKTOP/Age gate and Mega menu/Header/LEARN menu - En""), CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 14:54:31,2019-06-19 14:54:31,0.302s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 14:54:31,2019-06-19 14:54:33,2.007s,PASSED
"click(findTestObject(""OCS-DESKTOP/LEARN page/Endocannabinoids chevron""))",Chrome 76.0.3809.25,,2019-06-19 14:54:33,2019-06-19 14:54:36,3.292s,PASSED
"verifyTextPresent(""The Endocannabinoid System"", true)",Chrome 76.0.3809.25,,2019-06-19 14:54:36,2019-06-19 14:54:37,0.411s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 14:54:37,2019-06-19 14:54:39,2.006s,PASSED
"click(findTestObject(""OCS-DESKTOP/Age gate and Mega menu/Header/LEARN menu - En""), CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 14:54:39,2019-06-19 14:54:39,0.304s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 14:54:39,2019-06-19 14:54:41,2.005s,PASSED
"click(findTestObject(""OCS-DESKTOP/LEARN page/Read More -1""))",Chrome 76.0.3809.25,,2019-06-19 14:54:41,2019-06-19 14:54:44,3.568s,PASSED
"verifyTextPresent(""The human reaction to cannabis."", false)",Chrome 76.0.3809.25,,2019-06-19 14:54:44,2019-06-19 14:54:45,0.412s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 14:54:45,2019-06-19 14:54:47,2.003s,PASSED
"click(findTestObject(""OCS-DESKTOP/Age gate and Mega menu/Header/LEARN menu - En""), CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 14:54:47,2019-06-19 14:54:47,0.274s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 14:54:47,2019-06-19 14:54:49,2.004s,PASSED
"click(findTestObject(""OCS-DESKTOP/LEARN page/Cannabis anatomy""))",Chrome 76.0.3809.25,,2019-06-19 14:54:49,2019-06-19 14:54:52,2.896s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 14:54:52,2019-06-19 14:54:54,2.003s,PASSED
"click(findTestObject(""OCS-DESKTOP/Age gate and Mega menu/Header/LEARN menu - En""), CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 14:54:54,2019-06-19 14:54:54,0.440s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 14:54:54,2019-06-19 14:54:56,2.003s,PASSED
"click(findTestObject(""OCS-DESKTOP/LEARN page/CBD""))",Chrome 76.0.3809.25,,2019-06-19 14:54:56,2019-06-19 14:54:59,2.940s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 14:54:59,2019-06-19 14:55:01,2.006s,PASSED
"verifyTextPresent(""CANNABIS ANATOMY"", false, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 14:55:01,2019-06-19 14:55:02,0.532s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 14:55:02,2019-06-19 14:55:04,2.006s,PASSED
"click(findTestObject(""OCS-DESKTOP/Age gate and Mega menu/Header/LEARN menu - En""), CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 14:55:04,2019-06-19 14:55:04,0.316s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 14:55:04,2019-06-19 14:55:06,2.003s,PASSED
"click(findTestObject(""OCS-DESKTOP/LEARN page/Terpenes""))",Chrome 76.0.3809.25,,2019-06-19 14:55:06,2019-06-19 14:55:10,3.349s,PASSED
"click(findTestObject(""Learn_spy/Page_Ontario Cannabis Store  Ontari/h3_Learn""))",Chrome 76.0.3809.25,,2019-06-19 14:55:10,2019-06-19 14:55:10,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/Learn_OR/Page_The Effects of Cannabis  Ontar/a_Read More""))",Chrome 76.0.3809.25,,2019-06-19 14:55:10,2019-06-19 14:55:10,0.000s,NOT_RUN
"verifyTextPresent(""Terpenes give cannabis strains their unique aromas."", true)",Chrome 76.0.3809.25,,2019-06-19 14:55:10,2019-06-19 14:55:10,0.408s,PASSED
"click(findTestObject(""Learn_spy/Page_Ontario Cannabis Store  Ontari/h3_Learn""))",Chrome 76.0.3809.25,,2019-06-19 14:55:10,2019-06-19 14:55:10,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/Learn_OR/Page_How Cannabis Works  Ontario Ca/span_Cannabis Anatomy""))",Chrome 76.0.3809.25,,2019-06-19 14:55:10,2019-06-19 14:55:10,0.001s,NOT_RUN
"click(findTestObject(""Learn_spy/Page_Ontario Cannabis Store  Ontari/h3_Learn""))",Chrome 76.0.3809.25,,2019-06-19 14:55:10,2019-06-19 14:55:10,0.001s,NOT_RUN
"verifyTextPresent(""Terpenes give cannabis strains their unique aromas."", true)",Chrome 76.0.3809.25,,2019-06-19 14:55:10,2019-06-19 14:55:10,0.001s,NOT_RUN
delay(2),Chrome 76.0.3809.25,,2019-06-19 14:55:10,2019-06-19 14:55:12,2.003s,PASSED
"click(findTestObject(""OCS-DESKTOP/Age gate and Mega menu/Header/LEARN menu - En""), CONTINUE_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 14:55:12,2019-06-19 14:55:12,0.317s,PASSED
delay(1),Chrome 76.0.3809.25,,2019-06-19 14:55:12,2019-06-19 14:55:13,1.006s,PASSED
"click(findTestObject(""OCS-DESKTOP/LEARN page/THC""))",Chrome 76.0.3809.25,,2019-06-19 14:55:13,2019-06-19 14:55:18,4.234s,PASSED
"verifyTextPresent(""THC is the component in cannabis that is primarily responsible for its intoxicating, psychoactive effects."", true)",Chrome 76.0.3809.25,,2019-06-19 14:55:18,2019-06-19 14:55:18,0.459s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 14:55:18,2019-06-19 14:55:20,2.002s,PASSED
