Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suite - safari,Chrome 75.0.3770.142,,2019-07-26 12:22:00,2019-07-26 14:06:57,1h - 44m - 57.018s,FAILED
,,,,,,
Test Cases/OCS - DESKTOP/OCS- CRITICAL PATH/Cart flyout- increase qty,Chrome 75.0.3770.142,,2019-07-26 12:22:01,2019-07-26 12:23:04,1m - 3.091s,PASSED
"callTestCase(findTestCase(""OCS - DESKTOP/CALL - Navigate to PDP""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.142,,2019-07-26 12:22:04,2019-07-26 12:22:40,36.299s,PASSED
"scrollToElement(findTestObject(""OCS-DESKTOP/Product page/Product image""), 1)",Chrome 75.0.3770.142,,2019-07-26 12:22:40,2019-07-26 12:22:40,0.002s,NOT_RUN
delay(2),Chrome 75.0.3770.142,,2019-07-26 12:22:40,2019-07-26 12:22:42,2.006s,PASSED
"flag = verifyElementPresent(findTestObject(""OCS-DESKTOP/Product page/Swatch_3.5g""), 0)",Chrome 75.0.3770.142,,2019-07-26 12:22:42,2019-07-26 12:22:42,0.040s,PASSED
"comment("" flag ="" + flag)",Chrome 75.0.3770.142,,2019-07-26 12:22:42,2019-07-26 12:22:42,0.013s,PASSED
if (flag == true),Chrome 75.0.3770.142,,2019-07-26 12:22:42,2019-07-26 12:23:02,19.910s,PASSED
,,,,,,
Test Cases/OCS - DESKTOP/OCS- CRITICAL PATH/Cart flyout- decrease qty,Chrome 75.0.3770.142,,2019-07-26 12:23:04,2019-07-26 12:24:11,1m - 6.907s,PASSED
"callTestCase(findTestCase(""OCS - DESKTOP/CALL - Navigate to PDP""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.142,,2019-07-26 12:23:05,2019-07-26 12:23:40,34.811s,PASSED
"scrollToElement(findTestObject(""OCS-DESKTOP/Product page/Product image""), 1)",Chrome 75.0.3770.142,,2019-07-26 12:23:40,2019-07-26 12:23:40,0.001s,NOT_RUN
delay(2),Chrome 75.0.3770.142,,2019-07-26 12:23:40,2019-07-26 12:23:42,2.004s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 75.0.3770.142,,2019-07-26 12:23:42,2019-07-26 12:23:42,0.010s,PASSED
"flag = verifyElementPresent(findTestObject(""OCS-DESKTOP/Product page/Swatch_1g""), 0)",Chrome 75.0.3770.142,,2019-07-26 12:23:42,2019-07-26 12:23:42,0.025s,PASSED
"click(findTestObject(""OCS-DESKTOP/Product page/Swatch_1g""))",Chrome 75.0.3770.142,,2019-07-26 12:23:42,2019-07-26 12:23:42,0.301s,PASSED
takeScreenshot(),Chrome 75.0.3770.142,,2019-07-26 12:23:42,2019-07-26 12:23:44,1.769s,PASSED
"comment("" flag ="" + flag)",Chrome 75.0.3770.142,,2019-07-26 12:23:44,2019-07-26 12:23:44,0.002s,PASSED
if (flag == true),Chrome 75.0.3770.142,,2019-07-26 12:23:44,2019-07-26 12:24:09,25.078s,PASSED
,,,,,,
Test Cases/OCS - DESKTOP/OCS- CRITICAL PATH/Checkout- Payment,Chrome 75.0.3770.142,,2019-07-26 12:24:11,2019-07-26 12:27:24,3m - 13.079s,PASSED
"callTestCase(findTestCase(""OCS - DESKTOP/CALL- Age gate""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.142,,2019-07-26 12:24:12,2019-07-26 12:24:38,25.933s,PASSED
"click(findTestObject(""OCS-DESKTOP/Age gate and Mega menu/Header/CANNABIS menu - English""))",Chrome 75.0.3770.142,,2019-07-26 12:24:38,2019-07-26 12:24:44,6.197s,PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-26 12:24:44,2019-07-26 12:24:46,2.002s,PASSED
"click(findTestObject(""OCS-DESKTOP/Age gate and Mega menu/Indica Dominant_Menu item""))",Chrome 75.0.3770.142,,2019-07-26 12:24:46,2019-07-26 12:24:54,7.510s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 75.0.3770.142,,2019-07-26 12:24:54,2019-07-26 12:24:54,0.011s,PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-26 12:24:54,2019-07-26 12:24:56,2.005s,PASSED
"click(findTestObject(""OCS-DESKTOP/Collection page/Product image - 1st one""))",Chrome 75.0.3770.142,,2019-07-26 12:24:56,2019-07-26 12:25:01,5.461s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 75.0.3770.142,,2019-07-26 12:25:01,2019-07-26 12:25:01,0.014s,PASSED
delay(1),Chrome 75.0.3770.142,,2019-07-26 12:25:01,2019-07-26 12:25:02,1.004s,PASSED
delay(3),Chrome 75.0.3770.142,,2019-07-26 12:25:02,2019-07-26 12:25:05,3.006s,PASSED
