Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
recordings - 1.10.2,Chrome 76.0.3809.25,,2019-06-19 15:12:44,2019-06-19 15:30:57,18m - 12.409s,PASSED
,,,,,,
Test Cases/OCS - DESKTOP/OCS- CRITICAL PATH/Cart flyout- increase qty,Chrome 76.0.3809.25,,2019-06-19 15:12:45,2019-06-19 15:13:58,1m - 13.328s,PASSED
"callTestCase(findTestCase(""OCS - DESKTOP/CALL - Navigate to PDP""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 15:12:45,2019-06-19 15:13:35,49.444s,PASSED
"scrollToElement(findTestObject(""OCS-DESKTOP/Product page/Product image""), 1)",Chrome 76.0.3809.25,,2019-06-19 15:13:35,2019-06-19 15:13:35,0.005s,NOT_RUN
delay(2),Chrome 76.0.3809.25,,2019-06-19 15:13:35,2019-06-19 15:13:37,2.007s,PASSED
"flag = verifyElementPresent(findTestObject(""OCS-DESKTOP/Product page/Swatch_3.5g""), 0)",Chrome 76.0.3809.25,,2019-06-19 15:13:37,2019-06-19 15:13:37,0.127s,PASSED
"comment("" flag ="" + flag)",Chrome 76.0.3809.25,,2019-06-19 15:13:37,2019-06-19 15:13:37,0.005s,PASSED
if (flag == true),Chrome 76.0.3809.25,,2019-06-19 15:13:37,2019-06-19 15:13:58,21.169s,PASSED
,,,,,,
Test Cases/OCS - DESKTOP/OCS- CRITICAL PATH/Cart flyout- decrease qty,Chrome 76.0.3809.25,,2019-06-19 15:13:58,2019-06-19 15:15:21,1m - 23.315s,PASSED
"callTestCase(findTestCase(""OCS - DESKTOP/CALL - Navigate to PDP""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 15:13:58,2019-06-19 15:14:51,53.219s,PASSED
"scrollToElement(findTestObject(""OCS-DESKTOP/Product page/Product image""), 1)",Chrome 76.0.3809.25,,2019-06-19 15:14:51,2019-06-19 15:14:51,0.000s,NOT_RUN
delay(2),Chrome 76.0.3809.25,,2019-06-19 15:14:51,2019-06-19 15:14:53,2.004s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 76.0.3809.25,,2019-06-19 15:14:53,2019-06-19 15:14:54,0.102s,PASSED
"flag = verifyElementPresent(findTestObject(""OCS-DESKTOP/Product page/Swatch_1g""), 0)",Chrome 76.0.3809.25,,2019-06-19 15:14:54,2019-06-19 15:14:54,0.103s,PASSED
"click(findTestObject(""OCS-DESKTOP/Product page/Swatch_1g""))",Chrome 76.0.3809.25,,2019-06-19 15:14:54,2019-06-19 15:14:54,0.239s,PASSED
takeScreenshot(),Chrome 76.0.3809.25,,2019-06-19 15:14:54,2019-06-19 15:14:56,2.041s,PASSED
"comment("" flag ="" + flag)",Chrome 76.0.3809.25,,2019-06-19 15:14:56,2019-06-19 15:14:56,0.001s,PASSED
if (flag == true),Chrome 76.0.3809.25,,2019-06-19 15:14:56,2019-06-19 15:15:21,25.350s,PASSED
,,,,,,
Test Cases/OCS - DESKTOP/OCS- CRITICAL PATH/Checkout- Payment,Chrome 76.0.3809.25,,2019-06-19 15:15:21,2019-06-19 15:17:47,2m - 25.656s,PASSED
"callTestCase(findTestCase(""OCS - DESKTOP/CALL- Age gate""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.25,,2019-06-19 15:15:22,2019-06-19 15:16:06,44.095s,PASSED
"click(findTestObject(""OCS-DESKTOP/Age gate and Mega menu/Header/CANNABIS menu - English""))",Chrome 76.0.3809.25,,2019-06-19 15:16:06,2019-06-19 15:16:09,3.745s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 15:16:09,2019-06-19 15:16:11,2.006s,PASSED
"click(findTestObject(""OCS-DESKTOP/Age gate and Mega menu/Indica Dominant_Menu item""))",Chrome 76.0.3809.25,,2019-06-19 15:16:11,2019-06-19 15:16:15,3.275s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 76.0.3809.25,,2019-06-19 15:16:15,2019-06-19 15:16:15,0.142s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 15:16:15,2019-06-19 15:16:17,2.001s,PASSED
"click(findTestObject(""OCS-DESKTOP/Collection page/Product image - 1st one""))",Chrome 76.0.3809.25,,2019-06-19 15:16:17,2019-06-19 15:16:21,4.380s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Chrome 76.0.3809.25,,2019-06-19 15:16:21,2019-06-19 15:16:21,0.101s,PASSED
delay(1),Chrome 76.0.3809.25,,2019-06-19 15:16:21,2019-06-19 15:16:22,1.001s,PASSED
delay(3),Chrome 76.0.3809.25,,2019-06-19 15:16:22,2019-06-19 15:16:25,3.002s,PASSED
"scrollToElement(findTestObject(""OCS-DESKTOP/Product page/Product image""), 1)",Chrome 76.0.3809.25,,2019-06-19 15:16:25,2019-06-19 15:16:25,0.001s,NOT_RUN
"click(findTestObject(""OCS-DESKTOP/Product page/Swatch_1g""))",Chrome 76.0.3809.25,,2019-06-19 15:16:25,2019-06-19 15:16:26,0.355s,PASSED
delay(2),Chrome 76.0.3809.25,,2019-06-19 15:16:26,2019-06-19 15:16:28,2.004s,PASSED
"click(findTestObject(""OCS-DESKTOP/Product page/Add to Bag-button""))",Chrome 76.0.3809.25,,2019-06-19 15:16:28,2019-06-19 15:16:28,0.288s,PASSED
